city,year,car_numbers,car_speed,school_numbers,stations,parks,total_accidents,child_accidents,schoolzone_accidents,child_population,total_population,city_tax,density,wedding
서초구,2022,176799,25.2,24,12,179,2264,14,1,42810,404325,990424,8696,1306
성동구,2022,104434,23.7,21,14,100,948,14,3,23547,281000,199726,17136,1179
성북구,2022,122644,23.4,29,9,122,1288,14,2,27576,430397,98570,17983,1429
송파구,2022,250142,22.6,41,28,174,2581,26,3,64211,658801,478215,19616,2555
양천구,2022,151846,27.2,30,5,123,1165,24,3,41137,440881,123130,25509,1339
영등포구,2022,144596,22.9,23,11,108,1998,5,2,30705,375675,1017148,16215,1978
용산구,2022,75505,25.9,15,10,107,1014,12,3,16038,218650,441966,10668,948
은평구,2022,133758,20.8,30,13,136,918,25,4,36168,466746,57336,15838,1585
종로구,2022,50337,22.3,13,15,106,974,11,1,9254,141379,668117,6365,486
중구,2022,58836,20.4,12,23,70,943,3,0.001,7797,120437,1263602,13131,511
중랑구,2022,116094,21.9,24,8,113,1401,21,1,27576,385318,41700,21092,1723
강남구,2023,253856,23.0,33,21,165,3926,34,7,51337,544873,1791446,13932,1961
강동구,2023,154020,21.7,29,14,131,1185,23,1,42880,459167,125884,18841,1683
강북구,2023,74549,19.9,14,3,87,972,14,2,16925,288113,22845,12414,844
강서구,2023,205821,21.8,35,9,174,1518,24,4,43848,563058,232298,13723,2558
관악구,2023,118303,24.5,22,4,134,980,7,1,23186,481956,57015,16838,1951
광진구,2023,97627,23.4,21,11,68,717,14,3,21931,335554,87824,20582,1361
구로구,2023,147818,22.2,26,7,114,1359,26,3,30904,392405,134059,20656,1655
금천구,2023,92139,22.5,18,1,55,876,13,3,13542,227481,140926,18517,1034
노원구,2023,152510,21.6,42,13,186,1366,13,2,38844,498213,52210,14191,1639
도봉구,2023,95127,21.1,23,3,81,530,7,1,20496,306948,31519,14987,913
동대문구,2023,102637,22.4,21,6,92,1674,15,2,24897,341149,77669,25315,1317
동작구,2023,106496,25.2,21,12,87,1242,14,3,27529,378769,74582,23826,1533
